Variable,Category,Subcategory,Mean,Lower_CI,Upper_CI
LBDEONO,ID_status,ID,0.18674526616648804,0.18071652330768762,0.19277400902528846
LBDEONO,ID_status,Non-ID,0.2069085833914864,0.2041205850204998,0.20969658176247302
LBDEONO,IDA_Status,0,0.20556432933249105,0.20294317690817085,0.20818548175681126
LBDEONO,IDA_Status,1,0.175975975975976,0.16573805302099384,0.18621389893095816
LBDBANO,Anemia_code,0,0.046080578059995624,0.04522526599574553,0.04693589012424572
LBDBANO,Anemia_code,1,0.0472495657209033,0.04386202346536443,0.05063710797644218
LBDBANO,ID_status,ID,0.04719542693819221,0.044998980298240766,0.049391873578143654
LBDBANO,ID_status,Non-ID,0.04601651546871366,0.04511457086119665,0.04691846007623067
LBDBANO,IDA_Status,0,0.045914929458833444,0.04506212583735509,0.0467677330803118
LBDBANO,IDA_Status,1,0.051251251251251254,0.047268947531319716,0.05523355497118279
LBXRBCSI,Anemia_code,0,4.598192467703087,4.592355283157767,4.604029652248407
LBXRBCSI,Anemia_code,1,4.288731905037638,4.265881353032475,4.311582457042801
LBXRBCSI,ID_status,ID,4.455434083601286,4.439278993065102,4.4715891741374705
LBXRBCSI,ID_status,Non-ID,4.590350081414282,4.584169588264478,4.5965305745640865
LBXRBCSI,IDA_Status,0,4.584761528742893,4.578891902469174,4.590631155016613
LBXRBCSI,IDA_Status,1,4.318608608608608,4.289977827752644,4.347239389464573
LBXHGB,Anemia_code,0,13.397071381650974,13.38084615434167,13.413296608960279
LBXHGB,Anemia_code,1,10.91771858714534,10.869360476506815,10.966076697783864
LBXHGB,ID_status,ID,11.969667738478027,11.917473802677177,12.021861674278876
LBXHGB,ID_status,Non-ID,13.380408234473133,13.362736348703718,13.398080120242549
LBXHGB,IDA_Status,0,13.318882922720572,13.30221563240398,13.335550213037164
LBXHGB,IDA_Status,1,10.597697697697699,10.527990264224108,10.66740513117129
LBXHCT,Anemia_code,0,39.50336654258813,39.45516767039067,39.55156541478559
LBXHCT,Anemia_code,1,33.52252460914881,33.392559796910206,33.652489421387415
LBXHCT,ID_status,ID,36.05698463737049,35.92276224370849,36.19120703103249
LBXHCT,ID_status,Non-ID,39.46367759944173,39.41185837272615,39.51549682615731
LBXHCT,IDA_Status,0,39.31106548747105,39.26237051759599,39.359760457346106
LBXHCT,IDA_Status,1,32.82072072072072,32.6382010283014,33.00324041314004
LBXMCVSI,Anemia_code,0,86.14643639150428,86.06086800427268,86.23200477873588
LBXMCVSI,Anemia_code,1,78.86253618992473,78.45311334020548,79.27195903964397
LBXMCVSI,ID_status,ID,81.30396570203644,81.00512979299944,81.60280161107343
LBXMCVSI,ID_status,Non-ID,86.20312281926029,86.11410129509781,86.29214434342276
LBXMCVSI,IDA_Status,0,85.98927668982944,85.90312060717672,86.07543277248216
LBXMCVSI,IDA_Status,1,76.54294294294294,76.03142527966392,77.05446060622197
LBXMC,Anemia_code,0,33.91337858550471,33.8999595908932,33.92679758011622
LBXMC,Anemia_code,1,32.54273306311523,32.48188859588148,32.60357753034898
LBXMC,ID_status,ID,33.13544122901036,33.0874530461076,33.183429411913124
LBXMC,ID_status,Non-ID,33.90234938357758,33.88821913040973,33.91647963674543
LBXMC,IDA_Status,0,33.876173931353975,33.862633561301614,33.889714301406336
LBXMC,IDA_Status,1,32.25135135135135,32.16918408965179,32.33351861305091
LBXMCHSI,Anemia_code,0,29.223368732209327,29.190486798955103,29.25625066546355
LBXMCHSI,Anemia_code,1,25.73161551823972,25.567288755543814,25.89594228093563
LBXMCHSI,ID_status,ID,27.0037513397642,26.88085602603653,27.12664665349187
LBXMCHSI,ID_status,Non-ID,29.233978832286578,29.19952883330445,29.268428831268707
LBXMCHSI,IDA_Status,0,29.140734891556118,29.10734374465449,29.174126038457747
LBXMCHSI,IDA_Status,1,24.758358358358358,24.55101139175591,24.965705324960805
LBXRDW,Anemia_code,0,13.07110794832494,13.05496598151873,13.08724991513115
LBXRDW,Anemia_code,1,15.429473074696006,15.312722320296205,15.546223829095807
LBXRDW,ID_status,ID,14.671882815291175,14.589346377032202,14.754419253550148
LBXRDW,ID_status,Non-ID,13.047400558269365,13.030592021732055,13.064209094806674
LBXRDW,IDA_Status,0,13.119788376500315,13.102822628561094,13.136754124439536
LBXRDW,IDA_Status,1,16.222422422422422,16.07274478270152,16.372100062143325
LBXPLTSI,Anemia_code,0,288.04389643091747,286.93396507377537,289.1538277880596
LBXPLTSI,Anemia_code,1,305.14186450492184,300.84006833848406,309.4436606713596
LBXPLTSI,ID_status,ID,301.9657020364416,298.8280080254478,305.1033960474354
LBXPLTSI,ID_status,Non-ID,287.494993021633,286.34800736443015,288.6419786788358
LBXPLTSI,IDA_Status,0,288.1402874289324,287.0460108075335,289.23456405033136
LBXPLTSI,IDA_Status,1,315.7687687687688,309.9997975829019,321.53773995463564
LBXMPSI,Anemia_code,0,7.9009305890081025,7.887274704464624,7.914586473551581
LBXMPSI,Anemia_code,1,8.062478286045165,8.017051048128245,8.107905523962085
LBXMPSI,ID_status,ID,8.00768131475527,7.972779336237041,8.0425832932735
LBXMPSI,ID_status,Non-ID,7.899779018376367,7.885666275451912,7.913891761300822
LBXMPSI,IDA_Status,0,7.907343651295009,7.893899060022992,7.920788242567026
LBXMPSI,IDA_Status,1,8.058258258258258,8.001306523952548,8.115209992563967
LBXFER,Anemia_code,0,49.15986260126998,48.61620070691768,49.703524495622275
LBXFER,Anemia_code,1,24.68325419803127,23.24210049549503,26.124407900567512
LBXFER,ID_status,ID,8.894658806716684,8.775775904380582,9.013541709052786
LBXFER,ID_status,Non-ID,53.255652477320304,52.703501503996016,53.80780345064459
LBXFER,IDA_Status,0,49.1299573594441,48.59809327167492,49.66182144721328
LBXFER,IDA_Status,1,7.415095095095095,7.218921772974326,7.6112684172158644
